"","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","sum.dee","fee","cvr","olai","vai"
"211",21,10,0,0,0,229,1,0,1,0,0,0,0,0,0
"212",21,11,0,0,0,229,1,0,1,0,0,0,0,0,0
"213",21,12,0,0,0,229,1,0,1,0,0,0,0,0,0
"214",21,13,0,0,0,229,1,0,1,0,0,0,0,0,0
"215",21,14,0,0,0,229,1,0,1,0,0,0,0,0,0
"216",21,15,0,0,0,229,1,0,1,0,0,0,0,0,0
"225",22,0,0,0,89,228,1,0,1,0,4.49980967033027,0,0,0.966425295722506,0
"226",22,1,0,0,89,228,1,0,1,0,4.49980967033027,0,0,0.966425295722506,0
"233",22,2,0,0,89,228,1,0,1,0,4.49980967033027,0,0,0.966425295722506,0
"234",22,3,0,0,89,228,1,0,1,0,4.49980967033027,0,0,0.966425295722506,0
"235",22,4,0,0,89,228,1,0,1,0,4.49980967033027,0,0,0.966425295722506,0
"236",22,5,0,0,89,228,1,0,1,0,4.49980967033027,0,0,0.966425295722506,0
"237",22,6,67,139,89,228,1,67,0.255555555555556,1.36431545440112,4.49980967033027,0.303194035827071,0.752808988764045,0.966425295722506,0.293014385735477
"238",22,7,19,139,89,228,1,86,0.0444444444444444,1.74919985480926,4.49980967033027,0.388727520264402,0.213483146067416,0.966425295722506,0.375676108727001
